"x","y","topo","y1","y2","y3"
-50,-50,0.946369884981357,0.981247519438357,0.0187523807229991,9.98386434758257e-08
-48,-50,1.20910233522744,0.980543266854363,0.0194566255901178,1.07555519306028e-07
-46,-50,1.5294041461246,0.979649570103219,0.0203503121264716,1.17770309676686e-07
-44,-50,1.91530755442986,0.978519340034216,0.0214805285991918,1.31366592510745e-07
-42,-50,2.37471685770884,0.977093616291593,0.0229062341070147,1.49601391817866e-07
-40,-50,2.91502446502819,0.975298345016836,0.0247014806929881,1.74290175407518e-07
-38,-50,3.54266125823511,0.973040411592633,0.0269593803163398,2.08091026804337e-07
-36,-50,4.26259535303447,0.970202963522494,0.0297967815360059,2.54941499952764e-07
-34,-50,5.07780058725174,0.966640271082505,0.0333594081899862,3.20727508508727e-07
-32,-50,5.98872307079335,0.962172761465126,0.0378268242385068,4.14296366861025e-07
-30,-50,6.99278017046579,0.956583501477338,0.0434159495633688,5.48959293558645e-07
-28,-50,8.08393058324402,0.949618346044948,0.0503809093133971,7.44641655270026e-07
-26,-50,9.25235591466535,0.940993161393096,0.0590058078233673,1.03078353693323e-06
-24,-50,10.4842927919267,0.930412671749528,0.0695858783739056,1.44987656621857e-06
-22,-50,11.7620495949896,0.917605843149668,0.0823920958438857,2.06100644643501e-06
-20,-50,13.0642332846849,0.902381097129105,0.0976159610508731,2.94182002170595e-06
-18,-50,14.3661998169369,0.884699693194238,0.115296120818193,4.18598756926808e-06
-16,-50,15.6407269242987,0.864756929989021,0.135237178013281,5.89199769725959e-06
-14,-50,16.8588916600161,0.843050560987187,0.156941299745946,8.1392668670321e-06
-12,-50,17.9911183761016,0.820409539321755,0.179579509842067,1.09508361783066e-05
-10,-50,19.0083472677859,0.797960594558935,0.202025156129688,1.42493113767213e-05
-8,-50,19.8832608129238,0.777027488041267,0.222954689760856,1.78221978768966e-05
-6,-50,20.5914967730671,0.758981326500454,0.240997354938816,2.1318560729426e-05
-4,-50,21.1127729956557,0.745076860358892,0.254898845638072,2.42940030359949e-05
