"x","y","topo","y1","y2","y3","y4","y5"
-50,-50,0.946369884981357,0.978587094457023,0.0214127750128251,1.30530151942014e-07,2.2167318087128e-16,1.04876909881681e-28
-48,-50,1.20910233522744,0.976953962584198,0.0230458859630608,1.51452741220692e-07,2.77284304855802e-16,1.41428800299092e-28
-46,-50,1.5294041461246,0.974797932958431,0.0252018855251602,1.81516408250165e-07,3.64219475082229e-16,2.03598633489003e-28
-44,-50,1.91530755442986,0.971938481914439,0.0280612923806639,2.25704896130145e-07,5.0575328391356e-16,3.15719104634306e-28
-42,-50,2.37471685770884,0.968122295964115,0.0318774116204456,2.92415438776107e-07,7.47277603988582e-16,5.320201172596e-28
-40,-50,2.91502446502819,0.962990317436226,0.0370092863186591,3.96245113991748e-07,1.18190222366743e-15,9.82117838478582e-28
-38,-50,3.54266125823511,0.956030342136375,0.0439690945013143,5.6336230890115e-07,2.0109092570671e-15,1.99968495430459e-27
-36,-50,4.26259535303447,0.946511077638854,0.0534880802823282,8.42078813879382e-07,3.69328558267061e-15,4.51271036345613e-27
-34,-50,5.07780058725174,0.933396149894296,0.066602526130595,1.32397510165631e-06,7.3321839869202e-15,1.13123103241337e-26
-32,-50,5.98872307079335,0.915245950740802,0.0847518628818818,2.18637730012694e-06,1.57132270637884e-14,3.14608232527951e-26
-30,-50,6.99278017046579,0.890139036226656,0.109857186629513,3.77714379411419e-06,3.61795352817135e-14,9.65443514945574e-26
-28,-50,8.08393058324402,0.85569226510612,0.144300955587939,6.77930585235936e-06,8.87290166509102e-14,3.23526998755225e-25
-26,-50,9.25235591466535,0.809327814560232,0.190659672549178,1.25128903609462e-05,2.28781474982569e-13,1.16532883252663e-24
-24,-50,10.4842927919267,0.74897514070332,0.251001425136042,2.34341600281969e-05,6.09518673254738e-13,4.4166100774081e-24
-22,-50,11.7620495949896,0.674264403742588,0.325691768649405,4.38276063640177e-05,1.64305893747677e-12,1.71602239661774e-23
-20,-50,13.0642332846849,0.587807870680925,0.412111636191729,8.04931229667597e-05,4.37992927284064e-12,6.6395682209322e-23
-18,-50,14.3661998169369,0.49558000174367,0.504277046635901,0.000142951609139651,1.12894638169771e-11,2.48383077362082e-22
-16,-50,15.6407269242987,0.40553434048631,0.594223090188328,0.000242569297775621,2.75858619363175e-11,8.73980424837058e-22
-14,-50,16.8588916600161,0.324941528749526,0.67466822406237,0.000390247125217914,6.28859446202659e-11,2.82313655359431e-21
-12,-50,17.9911183761016,0.258205939684775,0.741201311565601,0.000592748617564459,1.32059406247885e-10,8.19657752260522e-21
-10,-50,19.0083472677859,0.206423300087115,0.792728584668337,0.0008481149917641,2.52783883512616e-10,2.09898068907446e-20
-8,-50,19.8832608129238,0.168367033471368,0.830491723484171,0.0011412426075575,4.36903039403608e-10,4.65968516724193e-20
-6,-50,20.5914967730671,0.141828550533888,0.856729703953112,0.00144174483707702,6.75923280528535e-10,8.82817279083794e-20
-4,-50,21.1127729956557,0.124597376080436,0.873695848796458,0.00170677419423344,9.28872880634276e-10,1.40831861197525e-19
-2,-50,21.431851698156,0.114957450673144,0.883152388101125,0.00189016009872617,1.12700528909509e-09,1.87205126462774e-19
0,-50,21.5392793018486,0.111860506631265,0.886183644174728,0.00195584799143576,1.20257144256008e-09,2.05992351081799e-19
2,-50,21.431851698156,0.114957450673144,0.883152388101125,0.00189016009872617,1.12700528909509e-09,1.87205126462774e-19
4,-50,21.1127729956557,0.124597376080436,0.873695848796458,0.00170677419423344,9.28872880634276e-10,1.40831861197525e-19
6,-50,20.5914967730671,0.141828550533888,0.856729703953112,0.00144174483707702,6.75923280528535e-10,8.82817279083794e-20
8,-50,19.8832608129238,0.168367033471368,0.830491723484171,0.0011412426075575,4.36903039403608e-10,4.65968516724193e-20
10,-50,19.0083472677859,0.206423300087115,0.792728584668337,0.0008481149917641,2.52783883512616e-10,2.09898068907446e-20
12,-50,17.9911183761016,0.258205939684775,0.741201311565601,0.000592748617564459,1.32059406247885e-10,8.19657752260522e-21
14,-50,16.8588916600161,0.324941528749526,0.67466822406237,0.000390247125217914,6.28859446202659e-11,2.82313655359431e-21
16,-50,15.6407269242987,0.40553434048631,0.594223090188328,0.000242569297775621,2.75858619363175e-11,8.73980424837058e-22
18,-50,14.3661998169369,0.49558000174367,0.504277046635901,0.000142951609139651,1.12894638169771e-11,2.48383077362082e-22
20,-50,13.0642332846849,0.587807870680925,0.412111636191729,8.04931229667597e-05,4.37992927284064e-12,6.6395682209322e-23
22,-50,11.7620495949896,0.674264403742588,0.325691768649405,4.38276063640177e-05,1.64305893747677e-12,1.71602239661774e-23
24,-50,10.4842927919267,0.74897514070332,0.251001425136042,2.34341600281969e-05,6.09518673254738e-13,4.4166100774081e-24
26,-50,9.25235591466535,0.809327814560232,0.190659672549178,1.25128903609462e-05,2.28781474982569e-13,1.16532883252663e-24
28,-50,8.08393058324402,0.85569226510612,0.144300955587939,6.77930585235936e-06,8.87290166509102e-14,3.23526998755225e-25
30,-50,6.99278017046579,0.890139036226656,0.109857186629513,3.77714379411419e-06,3.61795352817135e-14,9.65443514945574e-26
32,-50,5.98872307079335,0.915245950740802,0.0847518628818818,2.18637730012694e-06,1.57132270637884e-14,3.14608232527951e-26
34,-50,5.07780058725174,0.933396149894296,0.066602526130595,1.32397510165631e-06,7.3321839869202e-15,1.13123103241337e-26
36,-50,4.26259535303447,0.946511077638854,0.0534880802823282,8.42078813879382e-07,3.69328558267061e-15,4.51271036345613e-27
38,-50,3.54266125823511,0.956030342136375,0.0439690945013143,5.6336230890115e-07,2.0109092570671e-15,1.99968495430459e-27
40,-50,2.91502446502819,0.962990317436226,0.0370092863186591,3.96245113991748e-07,1.18190222366743e-15,9.82117838478582e-28
42,-50,2.37471685770884,0.968122295964115,0.0318774116204456,2.92415438776107e-07,7.47277603988582e-16,5.320201172596e-28
44,-50,1.91530755442986,0.971938481914439,0.0280612923806639,2.25704896130145e-07,5.0575328391356e-16,3.15719104634306e-28
46,-50,1.5294041461246,0.974797932958431,0.0252018855251602,1.81516408250165e-07,3.64219475082229e-16,2.03598633489003e-28
48,-50,1.20910233522744,0.976953962584198,0.0230458859630608,1.51452741220692e-07,2.77284304855802e-16,1.41428800299092e-28
50,-50,0.946369884981357,0.978587094457023,0.0214127750128251,1.30530151942014e-07,2.2167318087128e-16,1.04876909881681e-28
-50,-48,1.10702718697668,0.977602425135265,0.0223974319099814,1.42954753040912e-07,2.54192887281171e-16,1.2591938926084e-28
-48,-48,1.41436152837866,0.975594035830991,0.0244057940780736,1.70090935007368e-07,3.30243147105963e-16,1.7862855292746e-28
-46,-48,1.78903829940463,0.972907188385488,0.0270926014330417,2.10181469309327e-07,4.54257973713906e-16,2.73511199947806e-28
-44,-48,2.24045330248167,0.969286733878456,0.0307129950047062,2.71116837116804e-07,6.66738032966402e-16,4.56791894980494e-28
-42,-48,2.77785268167881,0.964363920073193,0.0356357130718641,3.66854941348228e-07,1.0521259026774e-15,8.40631137127988e-28
-40,-48,3.40988379353591,0.9575998868723,0.0423995901253363,5.23002362229676e-07,1.79725649795476e-15,1.72060386615438e-27
-38,-48,4.14406923693748,0.948202189589337,0.0517970221441939,7.88266465282245e-07,3.34199448975277e-15,3.94732447908319e-27
-36,-48,4.98622052304908,0.935006706574863,0.0649920348766094,1.25854852062837e-06,6.78960035881407e-15,1.02042920710108e-26
-34,-48,5.93981633327711,0.916325107888284,0.0836727635656055,2.12854609562483e-06,1.50850386077184e-14,2.97833957511182e-26
-32,-48,7.00537850987655,0.889786040017816,0.110210157019372,3.80296277552783e-06,3.655838041282e-14,9.79075629985115e-26
-30,-48,8.17988598761211,0.852268834266052,0.147724032439904,7.13329394708636e-06,9.59607220589169e-14,3.59634472097242e-25
-28,-48,9.45627188196052,0.800161251817627,0.199824845907048,1.39022750556973e-05,2.69455272934957e-13,1.45496289020131e-24
-26,-48,10.8230510117308,0.730315311943774,0.269656949920942,2.77381344888266e-05,7.94890489729709e-13,6.34602490866893e-24
-24,-48,12.2641235114062,0.641957001266971,0.357987383476955,5.56152536671849e-05,2.40704685181614e-12,2.90228184263803e-23
-22,-48,13.7587944025481,0.538957933035423,0.460932246376753,0.000109820580534899,7.28945061802073e-12,1.34793913096304e-22
-20,-48,15.2820389286128,0.430504247823372,0.569286028204847,0.000209723950256172,2.15243454360064e-11,6.15426647801369e-22
-18,-48,16.8050294322309,0.328332897755231,0.671284749993622,0.000382352190474931,6.06715100094669e-11,2.68207207964706e-21
-16,-48,18.2959223492387,0.241844453591931,0.757494567746903,0.000660978500486028,1.60679164274583e-10,1.08816866263094e-20
-14,-48,19.7208847260603,0.174981507604769,0.823937653101852,0.00108083889838316,3.94995367342067e-10,4.02149430416015e-20
-12,-48,21.0453201042556,0.126721771199352,0.871608077140252,0.00167015076882833,8.91568116754548e-10,1.3259214632825e-19
-10,-48,22.2352354389928,0.0935126954685256,0.90405240312733,0.00243489957716755,1.82697634152864e-09,3.81899608014168e-19
-8,-48,23.2586757408161,0.0714114498588411,0.925248799311541,0.00333974747121255,3.35840562848283e-09,9.40842849126109e-19
-6,-48,24.0871429977688,0.05715149365477,0.938554561734277,0.00429393913806395,5.47288930309025e-09,1.94330900640171e-18
-4,-48,24.6969119258465,0.0484054121739375,0.946439255727131,0.00515532427574571,7.82318590670246e-09,3.30731631544673e-18
